table_name,column_name
broodstock,autoctr
broodstock,Speccode
broodstock,Stockcode
broodstock,Species
broodstock,CommonName
broodstock,MainRef
broodstock,C_Code
broodstock,Locality
broodstock,DataRef
broodstock,BreedingI
broodstock,Fecundity
broodstock,CountriesandRegions
broodstock,BreedingII
broodstock,BreedingIII
broodstock,CultureSystem
broodstock,MainwaterSource
broodstock,SupplWaterSource
broodstock,TempMin
broodstock,TempMax
broodstock,SpawningTempMin
broodstock,SpawningTempMax
broodstock,SalinMin
broodstock,SalinMax
broodstock,pHMin
broodstock,pHMax
broodstock,OxygenMin
broodstock,OxygenMax
broodstock,HardnessMin
broodstock,HardnessMax
broodstock,BroodstockStockingRate
broodstock,Broodstockfemale
broodstock,Broodstockmale
broodstock,SexRatio
broodstock,EggProduction
broodstock,PostMortality
broodstock,FCR
broodstock,Comments
broodstock,Entered
broodstock,DateEntered
broodstock,Modified
broodstock,DateModified
broodstock,Expert
broodstock,DateChecked
broodstock,TS
