table_name,column_name
cl50,CL50Code
cl50,Genus
cl50,Species
cl50,SpecCode
cl50,StockCode
cl50,Family
cl50,famcode
cl50,Number2
cl50,Sex2
cl50,CL50RefNo
cl50,MinimumWeight
cl50,ModalWeight
cl50,MaximumWeight
cl50,LifeStage
cl50,Length
cl50,AppliedStress
cl50,DataRef
cl50,Temp
cl50,Salinity
cl50,Oxygen
cl50,Oxygenmgl
cl50,pH
cl50,Alkalinity
cl50,ChemicalGroup
cl50,ChemicalGroup2
cl50,ChemicalName
cl50,Purity
cl50,Vehicle
cl50,Purity2
cl50,CommonName
cl50,ChemicalUse
cl50,CL50
cl50,Exposition
cl50,Flow
cl50,FlowRate
cl50,Comments
cl50,CL50RefNoFB
cl50,DataRefFb
cl50,Entered
cl50,DateEntered
cl50,Modified
cl50,DateModified
cl50,Checked
cl50,DateChecked
cl50,TS
