table_name,column_name
comnames,autoctr
comnames,ComName
comnames,Transliteration
comnames,StockCode
comnames,SpecCode
comnames,C_Code
comnames,Language
comnames,Script
comnames,UnicodeText
comnames,NameType
comnames,PreferredName
comnames,TradeName
comnames,TradeNameRef
comnames,ComNamesRefNo
comnames,Misspelling
comnames,Size
comnames,Sex
comnames,Language2
comnames,Locality2
comnames,Rank
comnames,Remarks
comnames,SecondWord
comnames,ThirdWord
comnames,FourthWord
comnames,Entered
comnames,DateEntered
comnames,Modified
comnames,DateModified
comnames,Expert
comnames,DateChecked
comnames,Core
comnames,modifier1
comnames,modifier2
comnames,CLOFFSCA
