table_name,column_name
countref,PAESE
countref,Note
countref,C_Code
countref,ABB
countref,ISO
countref,AdminCountry
countref,ISO1Num
countref,ISO2Alpha
countref,ISO3Alpha
countref,SAUP_Code
countref,Used
countref,Capital
countref,LatDeg
countref,LatMin
countref,NorthSouth
countref,LongDeg
countref,LongMin
countref,EastWest
countref,Remark
countref,PolarBoreal
countref,Temperate
countref,Subtropical
countref,Tropical
countref,Landlocked
countref,GeographicArea
countref,Region
countref,Continent
countref,AreaCodeInland
countref,FAOAreaInland
countref,AreaCodeMarineI
countref,FAOAreaMarineI
countref,AreaCodeMarineII
countref,FAOAreaMarineII
countref,AreaCodeMarineIII
countref,FAOAreaMarineIII
countref,AreaCodeMarineIV
countref,FAOAreaMarineIV
countref,AreaCodeMarineV
countref,FAOAreaMarineV
countref,Population
countref,PopulationYear
countref,PopulationRate
countref,PopulationRef
countref,CoastalPopulation
countref,CoastPopRef
countref,Area
countref,Coastline
countref,CoastlineRef
countref,ShelfArea
countref,ShelfRef
countref,EECarea
countref,EEZRef
countref,Language
countref,Currency
countref,MarineCount
countref,MarineFamCount
countref,CompleteMarine
countref,MarineLit
countref,MarineFamLit
countref,CheckMarineRef
countref,MarineFlag
countref,FreshwaterCount
countref,FreshFamCount
countref,CompleteFresh
countref,FreshwaterLit
countref,FreshFamLit
countref,CheckFreshRef
countref,FreshFlag
countref,TotalCount
countref,TotalFamCount
countref,TotalComplete
countref,TotalLit
countref,TotalFamLit
countref,TotalRef
countref,LastUpdate
countref,MorphCountFresh
countref,OccurCountFresh
countref,PicCountFresh
countref,GrowthCountFresh
countref,FoodCountFresh
countref,DietCountFresh
countref,ReproductionCountFresh
countref,SpawningCountFresh
countref,MorphCountMarine
countref,OccurCountMarine
countref,PicCountMarine
countref,GrowthCountMarine
countref,FoodCountMarine
countref,DietCountMarine
countref,ReproductionCountMarine
countref,SpawningCountMarine
countref,LatDegFill
countref,LatMinFill
countref,NorthSouthFill
countref,LongDegFill
countref,LongMinFill
countref,EastWestFill
countref,MLatDegFill
countref,MLatMinFill
countref,MNorthSouthFill
countref,MLongDegFill
countref,MLongMinFill
countref,MEastWestFill
countref,MLatDegFill2
countref,MLatMinFill2
countref,MNorthSouthFill2
countref,MLongDegFill2
countref,MLongMinFill2
countref,MEastWestFill2
countref,MLatDegFill3
countref,MLatMinFill3
countref,MNorthSouthFill3
countref,MLongDegFill3
countref,MLongMinFill3
countref,MEastWestFill3
countref,MLatDegFill4
countref,MLatMinFill4
countref,MNorthSouthFill4
countref,MLongDegFill4
countref,MLongMinFill4
countref,MEastWestFill4
countref,MLatDegFill5
countref,MLatMinFill5
countref,MNorthSouthFill5
countref,MLongDegFill5
countref,MLongMinFill5
countref,MEastWestFill5
countref,NorthernLatitude
countref,NorthernLatitudeNS
countref,SouthernLatitude
countref,SouthernLatitudeNS
countref,WesternLongitude
countref,WesternLongitudeEW
countref,EasternLongitude
countref,EasternLongitudeEW
countref,CenterLat
countref,CenterLong
countref,OtherLanguage
countref,Geography
countref,GeographyRef
countref,Hydrography
countref,HydrographyRef
countref,CommentFresh
countref,RefFresh1
countref,RefFresh2
countref,RefFresh3
countref,FreshPrimary
countref,FreshSecondary
countref,FreshInto
countref,InFisheriesReported
countref,InFisheriesPotential
countref,InAquaReported
countref,InAquaPotential
countref,ExportReported
countref,ExportPotential
countref,SportReported
countref,SportPotential
countref,EndemicReported
countref,EndemicPotential
countref,Threatened
countref,ProtectedReported
countref,ProtectedPotential
countref,ACP
countref,Developed
countref,Marine
countref,Brackish
countref,MarineInto
countref,MarineInFisheriesReported
countref,MarineInFisheriesPotential
countref,MarineInAquaReported
countref,MarineInAquaPotential
countref,MarineExportReported
countref,MarineExportPotential
countref,MarineSportReported
countref,MarineSportPotential
countref,MarineEndemicReported
countref,MarineEndemicPotential
countref,MarineThreatened
countref,MarineProtectedReported
countref,MarineProtectedPotential
countref,NatFishDB
countref,NatFishDB2
countref,Factbook
countref,NatFishAut
countref,TradeNames
countref,Entered
countref,DateEntered
countref,Modified
countref,DateModified
countref,Expert
countref,DateChecked
countref,Greek_original
countref,Greek
countref,RUSSIAN_original
countref,RUSSIAN
countref,FRENCH
countref,SPANISH
countref,GERMAN
countref,DUTCH
countref,PORTUGUESE
countref,ITALIAN
countref,SWEDISH
countref,TS
