table_name,column_name
country,autoctr
country,Stockcode
country,C_Code
country,SpecCode
country,CountryRefNo
country,AlsoRef
country,Status
country,CurrentPresence
country,Freshwater
country,Brackish
country,Saltwater
country,Land
country,Comments
country,Abundance
country,RefAbundance
country,Importance
country,RefImportance
country,ExVesselPrice
country,Aquaculture
country,RefAquaculture
country,LiveExportOrg
country,LiveExport
country,RefLiveExport
country,Game
country,Bait
country,Regulations
country,RefRegulations
country,Threatened
country,CountrySubComp
country,Entered
country,DateEntered
country,Modified
country,DateModified
country,Expert
country,DateChecked
country,TS
