table_name,column_name
disref,DisCode
disref,DiseasesRefNo
disref,DiseaseI
disref,DiseaseII
disref,Pic
disref,Othernames
disref,GermGenus
disref,GermSpecies
disref,Group
disref,SkinFinsAfflicted
disref,BellyAfflicted
disref,AberrantBehavior
disref,GillsAfflicted
disref,AnusAfflicted
disref,OtherBehavior
disref,EyesAfflicted
disref,VisceraAfflicted
disref,OtherSymptoms
disref,AberrantColor
disref,AberrantCoat
disref,AberrantMuscusProd
disref,Spots
disref,SpotsColor
disref,SpotsonHead
disref,DorsalSpots
disref,SpotsonDorsalFin
disref,SpotsonCaudalFin
disref,SpotsonTrunk
disref,VentralSpots
disref,SpotsonAnalFin
disref,SpotsonUnpairedF
disref,SpotsonTail
disref,Areas
disref,AreaColorI
disref,AreasonHead
disref,DorsalAreas
disref,AreaonDorsalFin
disref,AreaonCaudalFin
disref,AreasonTrunk
disref,VentralAreas
disref,AreaonAnalFin
disref,AreaonUnpairedF
disref,AreasonTail
disref,Boils
disref,BoilsColor
disref,BoilsonHead
disref,Dorsalboils
disref,BoilsonDorsalFin
disref,BoilsonCaudalFin
disref,BoilsonTrunk
disref,VentralBoils
disref,BoilsonAnalFin
disref,BoilsonUnpairedF
disref,BoilsonTail
disref,Ulcer
disref,UlcerColor
disref,UlceronHead
disref,DorsalUlcer
disref,UlceronDorsalFin
disref,UlceronCaudalFin
disref,UlceronTrunk
disref,VentralUlcer
disref,UlceronAnalFin
disref,UlceronUnpairedF
disref,UlceronTail
disref,AttachmentsSkin2
disref,AttachmentonHead
disref,DorsalAttachments
disref,AttonDorsalFin
disref,AttonCaudalFin
disref,AttachmentonTrunk
disref,VentralAttachments
disref,AttonAnalFin
disref,AttonUnpairedF
disref,AttachmentonTail
disref,Fins1
disref,DorsalFin
disref,CaudalFin
disref,AnalFin
disref,UnpairedFins
disref,AberrantColorGills
disref,AberColorGill
disref,EyeColor
disref,AberrantSpotsGill
disref,AberrantSpotsColor
disref,EyeSpots
disref,KnotsonGills
disref,KnotsColor
disref,EyesCondition
disref,AreasonGills
disref,AreasColor
disref,MucusProdGills
disref,ConditionGills
disref,ObjectGills
disref,AttachmentGills
disref,BellyCondition
disref,AnusCondition
disref,BellyLumen
disref,AnusColor
disref,BellyWorms
disref,AnusObject
disref,AnusAttachments
disref,AnusExudates
disref,LiverAffl
disref,LiverSize
disref,LiverApp
disref,LiverBlot
disref,LiverBlC
disref,LiverKnots
disref,LiverKnC
disref,SpleenAffl
disref,SpleenSize
disref,SpleenApp
disref,SpleenBlot
disref,SpleenBlC
disref,SpleenKnots
disref,SpleenKnC
disref,KidneyAffl
disref,KidneySize
disref,KidneyApp
disref,KidneyBlot
disref,KidneyBlC
disref,KidneyKnots
disref,KidneyKnC
disref,SwimBladderAffl
disref,SwimBladderSize
disref,SwimBladderApp
disref,SwimBladderBlot
disref,SwimBladderBlC
disref,SwimBladderKnots
disref,SwimBladderKnC
disref,IntestineAffl
disref,IntestineSize
disref,IntestineApp
disref,IntestineBlot
disref,IntestineBlC
disref,IntestineKnots
disref,IntestineKnC
disref,OtherOrgans
disref,OtherOrgansSize
disref,OtherOrgansBlot
disref,OtherOrgansBlC
disref,OtherOrgansKnots
disref,OtherOrgansKnC
disref,AllOrgans
disref,AllOrgansApp
disref,Bristeling
disref,Mortality
disref,Loss
disref,SkeletonDeformation
disref,Spring
disref,Summer
disref,GrowthRate
disref,Autumn
disref,Winter
disref,Condition
disref,AberrantActivity
disref,Activity
disref,AberrantBalance
disref,AberrantSwMotions
disref,SwimmingMotions
disref,AberrantBodyDirec
disref,Scraping
disref,Jumping
disref,AberrantFins
disref,Fins
disref,AberrantLocation
disref,FishNearSurface
disref,InfloworOutflow
disref,AberrantAppetite
disref,Operculum
disref,AberrantVentilation
disref,Fast
disref,Slow
disref,Flat
disref,heavy
disref,GaspingAir
disref,FishAfflicted
disref,FishAfflicted2
disref,FishAfflicted3
disref,Entered
disref,DateEntered
disref,Modified
disref,DateModified
disref,Expert
disref,DateChecked
disref,Fishafflict
disref,Symptom
disref,Treatments
disref,Prophylaxes
disref,AddRems
disref,TS
