table_name,column_name
ecosystemref,E_CODE
ecosystemref,EcosystemName
ecosystemref,EcosystemType
ecosystemref,E_CODE_Large
ecosystemref,E_CODE_Larger
ecosystemref,Ready
ecosystemref,OtherNames
ecosystemref,Location
ecosystemref,LocationMap
ecosystemref,Salinity
ecosystemref,RiverLength
ecosystemref,Area
ecosystemref,SizeRef
ecosystemref,DrainageArea
ecosystemref,NorthernLat
ecosystemref,NrangeNS
ecosystemref,SouthernLat
ecosystemref,SrangeNS
ecosystemref,WesternLat
ecosystemref,WrangeEW
ecosystemref,EasternLat
ecosystemref,ErangeEW
ecosystemref,Climate
ecosystemref,Polar
ecosystemref,Boreal
ecosystemref,Temperate
ecosystemref,Subtropical
ecosystemref,Tropical
ecosystemref,AverageDepth
ecosystemref,MaxDepth
ecosystemref,DepthRef
ecosystemref,TempSurface
ecosystemref,TempSurfaceMap
ecosystemref,TempDepth
ecosystemref,TempDepthMap
ecosystemref,Description
ecosystemref,TotalCount
ecosystemref,TotalFamCount
ecosystemref,TotalComplete
ecosystemref,TotalLit
ecosystemref,TotalFamLit
ecosystemref,TotalRef
ecosystemref,UseFlag
ecosystemref,Comments
ecosystemref,Remarks
ecosystemref,LastUpdate
ecosystemref,LatDegFill
ecosystemref,LatMinFill
ecosystemref,NorthSouthFill
ecosystemref,LongDegFill
ecosystemref,LongMinFill
ecosystemref,EastWestFill
ecosystemref,EcosystemURL1
ecosystemref,EcosystemURL2
ecosystemref,EcosystemURL3
ecosystemref,Entered
ecosystemref,DateEntered
ecosystemref,Modified
ecosystemref,DateModified
ecosystemref,Expert
ecosystemref,DateChecked
ecosystemref,EcosystemName_German
ecosystemref,EcosystemName_Russian_original
ecosystemref,EcosystemName_Russian
ecosystemref,EcosystemName_French
ecosystemref,EcosystemName_Chinese
ecosystemref,EcosystemName_Dutch
ecosystemref,EcosystemName_Italian
ecosystemref,EcosystemName_Swedish
ecosystemref,EcosystemName_Greek_original
ecosystemref,EcosystemName_Greek
ecosystemref,EcosystemName_Portuguese
ecosystemref,EcosystemName_Spanish
ecosystemref,EcosystemName_Chinese_u
ecosystemref,TS
