table_name,column_name
fubh,print_date_bySkit
fubh,active
fubh,Period
fubh,extant_finfish_1
fubh,extant_finfish_2
fubh,extant_finfish_3
fubh,extant_finfish_4
fubh,extant_finfish_5
fubh,used_fisheries_1
fubh,used_fisheries_2
fubh,used_fisheries_3
fubh,used_fisheries_4
fubh,used_fisheries_5
fubh,used_aquac_1
fubh,used_aquac_2
fubh,used_aquac_3
fubh,used_aquac_4
fubh,used_aquac_5
fubh,used_bait_1
fubh,used_bait_2
fubh,used_bait_3
fubh,used_bait_4
fubh,used_bait_5
fubh,used_trade_1
fubh,used_trade_2
fubh,used_trade_3
fubh,used_trade_4
fubh,used_trade_5
fubh,trade_marine_1
fubh,trade_marine_2
fubh,trade_marine_3
fubh,trade_marine_4
fubh,trade_marine_5
fubh,trade_fresh_1
fubh,trade_fresh_2
fubh,trade_fresh_3
fubh,trade_fresh_4
fubh,trade_fresh_5
fubh,trade_bred_1
fubh,trade_bred_2
fubh,trade_bred_3
fubh,trade_bred_4
fubh,trade_bred_5
fubh,used_sport_1
fubh,used_sport_2
fubh,used_sport_3
fubh,used_sport_4
fubh,used_sport_5
fubh,tot_used_1
fubh,tot_used_2
fubh,tot_used_3
fubh,tot_used_4
fubh,tot_used_5
fubh,threat_1
fubh,threat_2
fubh,threat_3
fubh,threat_4
fubh,threat_5
fubh,intro_1
fubh,intro_2
fubh,intro_3
fubh,intro_4
fubh,intro_5
fubh,danger_1
fubh,danger_2
fubh,danger_3
fubh,danger_4
fubh,danger_5
fubh,note
fubh,no_species
fubh,no_fresh
fubh,no_marine
fubh,no_brackish
fubh,TS
