table_name,column_name
icescatch,AutoCtr
icescatch,Specode
icescatch,Areacode
icescatch,Country
icescatch,CountryCode
icescatch,C_Code
icescatch,Species
icescatch,AlphaCode
icescatch,Area
icescatch,Area2
icescatch,1973
icescatch,1974
icescatch,1975
icescatch,1976
icescatch,1977
icescatch,1978
icescatch,1979
icescatch,1980
icescatch,1981
icescatch,1982
icescatch,1983
icescatch,1984
icescatch,1985
icescatch,1986
icescatch,1987
icescatch,1988
icescatch,1989
icescatch,1990
icescatch,1991
icescatch,1992
icescatch,1993
icescatch,1994
icescatch,1995
icescatch,1996
icescatch,1997
icescatch,1998
icescatch,1999
icescatch,2000
icescatch,2001
icescatch,2002
icescatch,2003
icescatch,2004
icescatch,2005
icescatch,2006
icescatch,2007
icescatch,TS
