table_name,column_name
matrix,ID
matrix,SpecCode
matrix,FamCode
matrix,KF_type
matrix,tm_for_KF
matrix,LMax
matrix,LMax_type
matrix,Linf
matrix,Linf_type
matrix,Linf_1st
matrix,Linf_2nd
matrix,Linf_comment
matrix,K
matrix,KF_comment
matrix,PhiPrime
matrix,to
matrix,mean_temp
matrix,M
matrix,M_se_1st
matrix,M_se_2nd
matrix,M_comment
matrix,Life_span
matrix,Life_span_1st
matrix,Life_span_2nd
matrix,Generation_time
matrix,Gen_time_1st
matrix,Gen_time_2nd
matrix,tm
matrix,tm_1st
matrix,tm_2nd
matrix,Lm
matrix,Lm_se_1st
matrix,Lm_se_2nd
matrix,Lm_type
matrix,Lopt
matrix,Lopt_se_1st
matrix,Lopt_se_2nd
matrix,Lopt_type
matrix,Lopt_text
matrix,a
matrix,b
matrix,LW_length
matrix,LW_length_type
matrix,W
matrix,W_type
matrix,NitrogenProtein_weight
matrix,NitrogenProtein_weight_type
matrix,nitrogen
matrix,protein
matrix,Reproductive_guild
matrix,Fecundity
matrix,Fecundity_1st
matrix,Fecundity_2nd
matrix,zzzFecundity_text
matrix,Emsy
matrix,Eopt
matrix,Fmsy
matrix,Fopt
matrix,Lc
matrix,Lc_type
matrix,E
matrix,YR
matrix,Resilience
matrix,rm
matrix,Lr
matrix,Lr_type
matrix,main_food
matrix,trophic_level
matrix,QB
matrix,QB_text
matrix,QB_Winf
matrix,QB_temp
matrix,QB_A
matrix,with_growth
matrix,with_max_age_size
matrix,with_lw
matrix,with_reproduction
matrix,with_diet
matrix,with_food_consumption
matrix,with_food
matrix,with_maturity
matrix,with_spawning
matrix,stockcode
matrix,TS
