table_name,column_name
museum,OccurrenceRefNo
museum,Museum
museum,Acronym
museum,Address
museum,City
museum,C_code
museum,LogoURL
museum,Online
museum,Remarks
museum,HomePageURL
museum,OnlineDatabase
museum,CatalogueNumPrefix1
museum,CatalogueNumberPrefix2
museum,CatalogueNumberPrefix3
museum,ContactPerson1
museum,ContactPerson1Email
museum,ContactPerson2
museum,ContactPerson2Email
museum,FirstVersionDate
museum,VersionDate
museum,Validity
museum,LastUpdateDate
museum,DatabaseFormat
museum,Accessions
museum,Species
museum,Families
museum,Countries
museum,TopCountry
museum,TopCountryRecords
museum,Coordinates
museum,PercentCoordinates
museum,DateOldestRecord
museum,DateMostRecentRecord
museum,YearOldestRecord
museum,YearMostRecentRecord
museum,Entered
museum,DateEntered
museum,Modified
museum,DateModified
museum,validnames
museum,PercentValid
museum,synonyms
museum,PercentSynonym
museum,non-matching
museum,PercentNon-matching
museum,AmbiguousName
museum,PercentAmbiguous
museum,TS
