table_name,column_name
poplfdata,autoctr
poplfdata,LFCode
poplfdata,DateSampled
poplfdata,YearofSampleOld
poplfdata,YearofSample
poplfdata,Individuals
poplfdata,Class1ML
poplfdata,Class1FR
poplfdata,Class2ML
poplfdata,Class2FR
poplfdata,Class3ML
poplfdata,Class3FR
poplfdata,Class4ML
poplfdata,Class4FR
poplfdata,Class5ML
poplfdata,Class5FR
poplfdata,Class6ML
poplfdata,Class6FR
poplfdata,Class7ML
poplfdata,Class7FR
poplfdata,Class8ML
poplfdata,Class8FR
poplfdata,Class9ML
poplfdata,Class9FR
poplfdata,Class10ML
poplfdata,Class10FR
poplfdata,Class11ML
poplfdata,Class11FR
poplfdata,Class12ML
poplfdata,Class12FR
poplfdata,Class13ML
poplfdata,Class13FR
poplfdata,Class14ML
poplfdata,Class14FR
poplfdata,Class15ML
poplfdata,Class15FR
poplfdata,Class16ML
poplfdata,Class16FR
poplfdata,Class17ML
poplfdata,Class17FR
poplfdata,Class18ML
poplfdata,Class18FR
poplfdata,Class19ML
poplfdata,Class19FR
poplfdata,Class20ML
poplfdata,Class20FR
poplfdata,Class21ML
poplfdata,Class21FR
poplfdata,Class22ML
poplfdata,Class22FR
poplfdata,Class23ML
poplfdata,Class23FR
poplfdata,Class24ML
poplfdata,Class24FR
poplfdata,Class25ML
poplfdata,Class25FR
poplfdata,Class26ML
poplfdata,Class26FR
poplfdata,Class27ML
poplfdata,Class27FR
poplfdata,Class28ML
poplfdata,Class28FR
poplfdata,Class29ML
poplfdata,Class29FR
poplfdata,Class30ML
poplfdata,Class30FR
poplfdata,Class31ML
poplfdata,Class31FR
poplfdata,Class32ML
poplfdata,Class32FR
poplfdata,Class33ML
poplfdata,Class33FR
poplfdata,Class34ML
poplfdata,Class34FR
poplfdata,Class35ML
poplfdata,Class35FR
poplfdata,Class36ML
poplfdata,Class36FR
poplfdata,Class37ML
poplfdata,Class37FR
poplfdata,Class38ML
poplfdata,Class38FR
poplfdata,Class39ML
poplfdata,Class39FR
poplfdata,Class40ML
poplfdata,Class40FR
poplfdata,Class41ML
poplfdata,Class41FR
poplfdata,Class42ML
poplfdata,Class42FR
poplfdata,Class43ML
poplfdata,Class43FR
poplfdata,Class44ML
poplfdata,Class44FR
poplfdata,Class45ML
poplfdata,Class45FR
poplfdata,Class46ML
poplfdata,Class46FR
poplfdata,Class47ML
poplfdata,Class47FR
poplfdata,Class48ML
poplfdata,Class48FR
poplfdata,Class49ML
poplfdata,Class49FR
poplfdata,Class50ML
poplfdata,Class50FR
poplfdata,TS
