table_name,column_name
proxims,StockCode
proxims,SpecCode
proxims,ChemicsRefNo
proxims,C_Code
proxims,Locality
proxims,Length
proxims,LengthUpper
proxims,LengthType
proxims,WeightLower
proxims,WeightUpper
proxims,HeadLower
proxims,HeadUpper
proxims,VisceraLower22
proxims,VisceraUpper22
proxims,TrunkLower
proxims,TrunkUpper
proxims,RoeLower
proxims,RoeUpper
proxims,SkinLower
proxims,SkinUpper
proxims,TestesLower
proxims,TestesUpper
proxims,FinsLower
proxims,FinsUpper
proxims,LiverLower
proxims,LiverUpper
proxims,BonesLower
proxims,BonesUpper
proxims,MeatLower
proxims,MeatUpper
proxims,FilletLower
proxims,FilletUpper
proxims,SteakLower
proxims,SteakUpper
proxims,Comment
proxims,MeatMoistMin
proxims,MeatMoistMax
proxims,MeatProtMin
proxims,MeatProtMax
proxims,MeatFatMin
proxims,MeatFatMax
proxims,MeatAshMin
proxims,MeatAshMax
proxims,LiverMoistMin
proxims,LiverMoistMax
proxims,LiverProtMin
proxims,LiverProtMax
proxims,LiverFatMin
proxims,LiverFatMax
proxims,LiverAshMin
proxims,LiverAshMax
proxims,RoeMoistMin
proxims,RoeMoistMax
proxims,RoeProtMin
proxims,RoeProtMax
proxims,RoeFatMin
proxims,RoeFatMax
proxims,RoeAshMin
proxims,RoeAshMax
proxims,VisceraMoistMin
proxims,VisceraMoistMax
proxims,VisceraProtMin
proxims,VisceraProtMax
proxims,VisceraFatMin
proxims,VisceraFatMax
proxims,VisceraAshMin
proxims,VisceraAshMax
proxims,HeadMoistMin
proxims,HeadMoistMax
proxims,HeadProtMin
proxims,HeadProtMax
proxims,HeadFatMin
proxims,HeadFatMax
proxims,HeadAshMin
proxims,HeadAshMax
proxims,WasteMoistMin
proxims,WasteMoistMax
proxims,WasteProtMin
proxims,WasteProtMax
proxims,WasteFatMin
proxims,WasteFatMax
proxims,WasteAshMin
proxims,WasteAshMax
proxims,CommentChemics
proxims,Entered
proxims,DateEntered
proxims,Modified
proxims,DateModified
proxims,Expert
proxims,DateChecked
proxims,Remark
proxims,TS
