table_name,column_name
reproduc,autoctr
reproduc,StockCode
reproduc,SpecCode
reproduc,ReproducRefNo
reproduc,ReproMode
reproduc,Fertilization
reproduc,MatingSystem
reproduc,MatingRefNo
reproduc,MatingQuality
reproduc,Spawning
reproduc,BatchSpawner
reproduc,SpawnModRef
reproduc,RepGuild1
reproduc,RepGuild2
reproduc,ParentalCare
reproduc,ParentalCareQ
reproduc,ParentalCareRef
reproduc,RepAquarium
reproduc,RepAquaRef
reproduc,Entered
reproduc,DateEntered
reproduc,Modified
reproduc,DateModified
reproduc,Expert
reproduc,DateChecked
reproduc,AddInfos
reproduc,TS
