table_name,column_name
species,SpecCode
species,Genus
species,Species
species,SpeciesRefNo
species,Author
species,FBname
species,PicPreferredName
species,PicPreferredNameM
species,PicPreferredNameF
species,PicPreferredNameJ
species,FamCode
species,Subfamily
species,GenCode
species,SubGenCode
species,BodyShapeI
species,Source
species,AuthorRef
species,Remark
species,TaxIssue
species,Fresh
species,Brack
species,Saltwater
species,DemersPelag
species,AnaCat
species,MigratRef
species,DepthRangeShallow
species,DepthRangeDeep
species,DepthRangeRef
species,DepthRangeComShallow
species,DepthRangeComDeep
species,DepthComRef
species,LongevityWild
species,LongevityWildRef
species,LongevityCaptive
species,LongevityCapRef
species,Vulnerability
species,Length
species,LTypeMaxM
species,LengthFemale
species,LTypeMaxF
species,MaxLengthRef
species,CommonLength
species,LTypeComM
species,CommonLengthF
species,LTypeComF
species,CommonLengthRef
species,Weight
species,WeightFemale
species,MaxWeightRef
species,Pic
species,PictureFemale
species,LarvaPic
species,EggPic
species,ImportanceRef
species,Importance
species,PriceCateg
species,PriceReliability
species,Remarks7
species,LandingStatistics
species,Landings
species,MainCatchingMethod
species,II
species,MSeines
species,MGillnets
species,MCastnets
species,MTraps
species,MSpears
species,MTrawls
species,MDredges
species,MLiftnets
species,MHooksLines
species,MOther
species,UsedforAquaculture
species,LifeCycle
species,AquacultureRef
species,UsedasBait
species,BaitRef
species,Aquarium
species,AquariumFishII
species,AquariumRef
species,GameFish
species,GameRef
species,Dangerous
species,DangerousRef
species,Electrogenic
species,ElectroRef
species,Complete
species,GoogleImage
species,Comments
species,Profile
species,PD50
species,Emblematic
species,Entered
species,DateEntered
species,Modified
species,DateModified
species,Expert
species,DateChecked
species,TS
