table_name,column_name
strains,StockCode
strains,SpecCode
strains,StrainsRefNo
strains,C_Code
strains,StrainCode
strains,Trait
strains,Pic
strains,BreedingStrategy
strains,Viability
strains,SizeofFounding
strains,SizeofFoundingF
strains,SizeofFoundingM
strains,NumberofBroodstock
strains,BreedingYear
strains,Source
strains,SourceII
strains,StrainCodeFounder
strains,ArrivalofFounder
strains,Availability
strains,RemarksRef
strains,Entered
strains,DateEntered
strains,Modified
strains,DateModified
strains,Expert
strains,DateChecked
strains,AddRemark
strains,TS
